train_loss,val_loss
4.045110703,
4.052084446,
4.048478127,
4.050225735,
4.054100513,
4.042853355,
4.053666115,
4.052938461,
4.024784088,
4.03442049,
4.045881271,
4.019383907,
4.043044567,
4.063512802,
4.039140701,
4.029821396,
4.051484108,
4.029004097,
4.049317837,
4.038131714,
4.046254158,
4.029089928,
4.031407833,
4.030273438,
4.023765564,
4.034197807,
4.01666069,
4.012731552,
4.014142513,
4.012532234,
4.009684086,
4.006103039,
4.01333952,
4.012525082,
4.001362324,
4.035456181,
3.980029106,
4.02439642,
3.998841524,
4.025076866,
4.001317978,
3.993900061,
4.02677536,
3.994374037,
3.997941732,
3.988750458,
4.005319595,
4.021493912,
3.987846851,
3.995980978,
3.98495245,
4.006557465,
3.981017828,
4.001870632,
3.97704339,
3.985432148,
3.981309175,
3.962743282,
3.979419231,
3.970532894,
3.984908342,
3.974105597,
3.976335287,
3.965371847,
3.952982426,
3.983109236,
3.991132021,
3.978793621,
3.98527956,
3.961203575,
3.974905014,
3.964757204,
3.962737322,
3.969865799,
3.968476534,
3.966248274,
3.966744423,
3.941179514,
3.950185299,
3.965002537,
3.949009418,
3.944419622,
3.950184584,
3.947078228,
3.963335276,
3.941446543,
3.945292711,
3.952673197,
3.941069841,
3.966873407,
3.973336935,
3.966157913,
3.988112688,
3.952329874,
3.952608347,
3.949845076,
3.951925516,
3.96399188,
3.947229385,
3.945404053,
3.94314909,
3.960868359,
3.966138363,
3.949322939,
3.942401648,
3.944377422,
3.967164755,
3.939822197,
3.959801912,
3.962206602,
3.935932159,
3.952752352,
3.956988335,
3.950526953,
3.956743717,
3.947090387,
3.962337255,
3.935029984,
3.941289902,
3.937389374,
3.945908546,
3.93448019,
3.945220232,
3.935384274,
3.945319891,
3.93078351,
3.953522444,
3.91918993,
3.930519581,
3.939619303,
3.933652163,
3.932013035,
3.9168787,
3.93913579,
3.928516388,
3.938122988,
3.93529582,
3.924291372,
3.936148882,
3.928099155,
3.934597254,
3.90566659,
3.926497221,
3.931999207,
3.917113543,
3.935119867,
3.922716618,
3.931228876,
3.920542002,
3.926542759,
3.923418522,
3.92387557,
3.913119316,
3.91121912,
3.920287609,
3.935679197,
3.949680328,
3.903316498,
3.923807144,
3.918074369,
3.928895473,
3.908512115,
3.923836946,
3.915835381,
3.909526348,
3.920101643,
3.915440321,
3.910480261,
3.909054756,
3.922747135,
3.926532507,
3.917074919,
3.899932384,
3.927437782,
3.910484791,
3.912734985,
3.921855688,
3.908502579,
3.925830603,
3.898509741,
3.901866198,
3.906021833,
3.892063618,
3.892921925,
3.897937536,
3.906388998,
