train_loss_mean,test_loss_mean
-100.88500467936198,-100.83215522766113
-100.95274946424696,-100.90622329711914
-100.87085808648004,-100.8890380859375
-100.88198513454861,-100.8482780456543
-100.77742936876085,-100.78723526000977
-100.91599697536893,-100.90346908569336
-100.83782704671223,-100.8374080657959
-100.74759165445964,-100.79479789733887
-101.04604932996962,-100.87594032287598
-100.7751235961914,-100.87905883789062
-100.86376359727647,-100.85959434509277
-100.78078969319661,-100.88877296447754
-100.84586588541667,-100.84036636352539
-100.82308451334636,-100.79811668395996
-100.83785671657986,-100.89237785339355
-100.78243679470486,-100.9144172668457
-100.88830312093098,-100.8540210723877
-100.7778828938802,-100.78126525878906
-100.76950242784288,-100.91208839416504
-100.78436109754774,-100.74917984008789
-100.90592363145616,-100.85353088378906
-100.76530626085069,-100.7667465209961
-100.82070753309462,-100.68935203552246
-100.906739976671,-100.83903694152832
-100.79253726535373,-100.86330795288086
-100.7396257188585,-100.91395378112793
-100.90316348605685,-100.9033317565918
-100.8894755045573,-100.91115951538086
-100.7770258585612,-100.83390045166016
-100.98360443115234,-100.79571342468262
-100.84801398383246,-100.78912734985352
-100.96965620252821,-100.7342414855957
-100.81720479329427,-100.83111763000488
-100.84698825412326,-101.00399971008301
-100.80475107828777,-100.94481086730957
-100.87396579318576,-100.95939064025879
-100.88680775960286,-100.86616325378418
-100.74659559461806,-101.06136894226074
-100.77869923909505,-100.84055137634277
-100.8344014485677,-100.86030197143555
-100.80481041802301,-100.85493659973145
-100.90786912706163,-100.80943870544434
-100.8500747680664,-100.79171180725098
-100.92370859781902,-100.8547248840332
-100.82702551947699,-100.81869506835938
-100.83641476101346,-100.73091506958008
-100.80991109212239,-100.87864685058594
-100.77335527208116,-100.77932548522949
-100.79065873887804,-100.78037452697754
-100.84359656439887,-100.90873527526855
-100.85421922471788,-100.92421913146973
-100.85530175103082,-100.82602310180664
-100.90390353732639,-100.8228988647461
-100.85378095838759,-100.72874641418457
-100.91869439019098,-100.9943675994873
-100.79023996988933,-100.92461013793945
-100.85831112331815,-100.89831161499023
-100.95223236083984,-100.84203910827637
-100.95672522650824,-101.05187797546387
-100.89624786376953,-100.8524055480957
-100.76001400417752,-100.85297203063965
-100.86502922905817,-100.8538932800293
-100.83687591552734,-100.77167129516602
-100.86430952284071,-100.81118202209473
-100.97941589355469,-100.69450759887695
-100.86248694525824,-100.79898452758789
-100.92790391710069,-100.76357841491699
-100.89237976074219,-100.86051559448242
-100.78907097710504,-100.95593643188477
